Link,Title,Description,Original_title,news_id,Rating,Reviewers,Category,Tags,Img,Criteria,News_Source,Our_review_summary,Source_link,Why_this_matters,
https://www.healthnewsreview.org/review/a-little-more-context-would-have-boosted-already-strong-healthday-story-on-drug-for-hot-flashes/,A little more context would have boosted already-strong HealthDay story on drug for hot flashes,Did the study findings really earn a label of “game-changing?”, Incontinence Drug May Cut Hot Flashes in Breast Cancer Survivors,story_reviews_00004,5,"['Sue Rochman', 'Karen Carlson, MD', 'Joy Victory']",HealthDay,"['breast cancer', 'hot flashes']",https://consumer.healthday.com/women-s-health-information-34/menopause-and-postmenopause-news-472/incontinence-drug-may-cut-hot-flashes-in-breast-cancer-survivors-740325.html,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Satisfactory', 'explanation': 'Using the lead researcher as a source, the article states that most insurers cover oxybutynin; that a month’s supply can range fr",Health Day,"The San Antonio Breast Cancer Symposium typically generates extensive media coverage of new research studies. However, not all of the studies presented are of the same caliber and some will never undergo the peer review that will lead them to be published","https://www.healthnewsreview.org/wp-content/uploads/2018/12/GettyImages-973159304-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/12/GettyImages-973159304.jpg 724w",Many breast cancer treatments are known to cause hot flashes. Some premenopausal women have treatments that put them into immediate menopause; others enter menopause naturally while they are being treated for breast cancer; and still others are postmenopa,
https://www.healthnewsreview.org/review/props-to-npr-for-highlighting-the-need-for-balanced-decision-making-around-statins/,Props to NPR for highlighting the need for balanced decision-making around statins,"This story could have provided a bit more on costs, alternatives, and how this study was performed.","Before Starting A Statin, Talk It Over With Your Doctor",story_reviews_00005,4,"['Alan Cassels', 'Doug Campos-Outcalt, MD, MPA', 'Mary Chris Jaklevic']",NPR,['statins'],https://www.npr.org/sections/health-shots/2018/12/03/672990317/before-starting-a-statin-talk-it-over-with-your-doctor,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Satisfactory', 'explanation': 'There’s no discussion of cost, even to mention that statins are relatively inexpensive these days and are mostly generically ",NPR,"The story reports on a study that re-assessed who benefits from taking a statin to prevent heart disease, with different risk thresholds based on sex, age group, and statin type.
It reports the view that current guidelines “haven’t adequately consider",nan,"Statins are among the most widely prescribed drugs, with their use encouraged under guidelines such as those of the American Heart Association of the American College of Cardiology.
However, data isn’t crystal clear on the benefits and harms of statins ",
https://www.healthnewsreview.org/review/cnn-delivers-a-balanced-report-on-peanut-allergy-treatment/,CNN delivers a balanced report on peanut allergy treatment,One girl’s story illustrates harms as well as benefits.,"Experimental treatment helps 2 out of 3 peanut allergy sufferers, study finds",story_reviews_00009,5,"['Jill U. Adams', 'Dan Mayer, MD', 'Mary Chris Jaklevic']",CNN,"['allergies', 'peanuts']",https://www.cnn.com/2018/11/18/health/peanut-allergy-treatment-study/index.html,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Satisfactory', 'explanation': 'The story does not mention costs — particularly important since the treatment might have to be taken for life. It’s reporte",CNN,"This CNN News story describes a new treatment for kids with peanut allergy called AR101, which could help protect against severe reactions to small amounts of peanut ingestion. It’s one of two stories we reviewed about this important and newsworthy stud","https://www.healthnewsreview.org/wp-content/uploads/2018/11/GettyImages-911706562-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/11/GettyImages-911706562-768x512.jpg 768w, https://www.healthnewsreview.org/wp-content/uploads/201","Peanut allergy is one of the most common food allergies. It typically presents early in life, is known for severe reactions, and is rarely outgrown. There currently are no treatments for peanut allergy, besides emergency care in the event of a reaction. S",
https://www.healthnewsreview.org/review/thoughtful-and-thorough-ap-story-looks-at-growing-trend-of-using-ketamine-for-depression/,"Thoughtful and thorough, AP story looks at growing trend of using ketamine for depression","When it comes to ketamine, people with depression and their families should be informed of the unclear benefits and risks.",High hopes & hype for experimental depression drug ketamine,story_reviews_00015,5,"['Mary Chris Jaklevic', 'Susan Molchan, MD, MA', 'Joy Victory']",Associated Press,['ketamine'],https://www.apnews.com/8f1a189bfde14cbf91179a60b900a81a,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Satisfactory', 'explanation': 'The story said one woman paid $3,000 “so far” for her treatments and “scrambles to find a way to pay for another one” as th",Associated Press,"This story explained how the drug ketamine is coming into vogue as a treatment for depression and suicidal behavior. It’s not focused on one new study but rather the topic in general, describing how “desperate patients are shelling out thousands of do","https://www.healthnewsreview.org/wp-content/uploads/2018/11/GettyImages-635810582-300x238.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/11/GettyImages-635810582.jpg 664w","Whenever a treatment takes hold ahead of the evidence, it’s the news media’s job to cast a critical eye. In this case, depression is a major public health problem, and ketamine or some derivative of it with longer lasting benefits could prove to be an",
https://www.healthnewsreview.org/review/new-york-times-warns-readers-that-new-flu-drug-is-no-miracle-cure/,New York Times warns readers that new flu drug ‘is no miracle cure’,The story provides people with the fundamental details they need to be informed patients.,F.D.A. Approves New Drug for Flu,story_reviews_00017,4,"['Matt Shipman', 'Elizabeth Russo, MD', 'Joy Victory']",New York Times,['influenza'],https://www.nytimes.com/2018/10/24/health/flu-pill-xofluza.html,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Satisfactory', 'explanation': 'The story devotes its second paragraph to cost, including how that cost may differ depending on whether patients have insurance. We",The New York Times,"This story is one of two we are reviewing that focuses on FDA’s approval of a drug designed to speed patient recovery from flu symptoms (the second story is from ABC News). The drug is baloxavir marboxil, marketed under the trade name Xofluza. This New ","https://www.healthnewsreview.org/wp-content/uploads/2018/03/GettyImages-891341512-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/03/GettyImages-891341512.jpg 724w","The criteria that we use at HealthNewsReview.org to review health-related news stories were not developed in a vacuum. Rather, these are the criteria we feel are essential to allow patients and health care providers to make informed decisions about diagno",
https://www.healthnewsreview.org/review/inquirers-look-at-using-facebook-to-screen-for-depression-emphasizes-research-is-still-in-very-early-stages/,Inquirer’s look at using Facebook to screen for depression emphasizes research ‘is still in very early stages’,"It would have been helpful if the story had explored who would pay for this kind of screening, and what we know about depression screening in general: Is it effective?",Depression often goes undiagnosed. Researchers are turning to Facebook to change that.,story_reviews_00021,4,"['Matt Shipman', 'Susan Molchan, MD, MA', 'Joy Victory']",Philadelphia Inquirer,"['depression', 'screening']",http://www2.philly.com/philly/health/facebook-predict-depression-mental-health-penn-study-20181015.html,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Applicable', 'explanation': 'This work is early in its development and the story makes that clear.\nHowever, it would still be worthwhile to raise some questi",The Philadelphia Inquirer,"
This Philadelphia Inquirer story focuses on the early development of a computer model that uses Facebook posts to identify people with depression.
It makes clear that the technology is in its preliminary stages and is not close to being used in a clinica","https://www.healthnewsreview.org/wp-content/uploads/2016/05/iStock_000067356463_Small-300x217.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2016/05/iStock_000067356463_Small.jpg 814w","Depression affects quality of life for millions of people around the world. This story is appropriately cautious about how far this technology is from real-world application, though a number of questions remain unanswered.",
https://www.healthnewsreview.org/review/ap-offers-strong-reporting-about-the-evidence-for-a-drug-treatment-for-moderate-bone-loss/,AP offers strong reporting about the evidence for a drug treatment for moderate bone loss,This story did a good job of explaining the findings and the quality of evidence.,Study suggests more older women may benefit from bone drugs,story_reviews_00024,5,"['Sue Rochman', 'Karen Carlson, MD', 'Mary Chris Jaklevic']",Associated Press,"['osteoporosis', 'Reclast']",https://abcnews.go.com/Health/wireStory/study-suggests-older-women-benefit-bone-drugs-58209993?cid=clicksource_26_4_article%20roll_articleroll_hed,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Satisfactory', 'explanation': 'The article states that a generic version of Reclast costs $200 to $500 per infusion, “depending on insurance and other factors.�",Associated Press,"This article covers a six-year study of 2,000 women in New Zealand ages 65 or older who had a scan indicating osteopenia, or moderate bone loss. Half received up to four infusions of the bisphosphonate zoledronate acid (brand name Reclast), administered i","https://www.healthnewsreview.org/wp-content/uploads/2018/10/GettyImages-808704868-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/10/GettyImages-808704868-768x512.jpg 768w, https://www.healthnewsreview.org/wp-content/uploads/201","Bone breaks and fractures become more common as people age. At age 65, most women receive their first DEXA scan, a test that uses low-dose X-rays to measure the amount of calcium and other minerals inside the bone. The test results score bone as normal th",
https://www.healthnewsreview.org/review/newsweek-story-on-zika-vaccine-to-zap-brain-cancer-is-fascinating-but-needed-more-caution-about-mouse-research/,Newsweek story on Zika vaccine to zap brain cancer is fascinating–but needed more caution about mouse research,"The story does express some limitations of the study findings, which we appreciate.",GLIOBLASTOMA: ZIKA VIRUS COULD DESTROY BRAIN CANCER THAT KILLED JOHN MCCAIN,story_reviews_00030,4,"['Ann Miller, PhD', 'Doug Campos-Outcalt, MD, MPA', 'Joy Victory']",Newsweek,"['vaccines', 'Zika virus']",https://www.newsweek.com/glioblastoma-zika-virus-could-destroy-brain-cancer-killed-john-mccain-1125530,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Applicable', 'explanation': 'This is a report of the results of a clinical trial in mice. It’s too early to estimate costs for human treatment. However, som",Newsweek,"This story reports results from a study in which researchers deployed a Zika virus vaccine to target and kill human glioblastoma brain cancer stem cells, which had been transplanted into mice. Glioblastoma is the most common and malignant form of primar","https://www.healthnewsreview.org/wp-content/uploads/2018/09/GettyImages-827580730-300x169.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/09/GettyImages-827580730-768x432.jpg 768w, https://www.healthnewsreview.org/wp-content/uploads/201","Any new ideas about cancer treatment are exciting. The idea of using the “bad side” of viruses for good purposes is intriguing. However, as the story states, it’s not yet known if this virus is safe for use in humans, and finding that out is likely ",
https://www.healthnewsreview.org/review/healthday-story-describes-a-randomized-controlled-trial-as-if-its-an-observational-study/,"Fish oil during pregnancy led to ‘stronger kids,’ but was the difference clinically meaningful?","The story included multiple independent sources to provide perspective, and it included a few key details about the study.","Fish Oil Pills During Pregnancy Might Mean Stronger, Healthier Kids",story_reviews_00034,4,"['Earle Holland', 'Karen Carlson, MD', 'Joy Victory']",HealthDay,"['fish oil', 'Pregnancy']",https://consumer.healthday.com/vitamins-and-nutrition-information-27/nutritional-supplements-health-news-504/fish-oil-pills-during-pregnancy-might-mean-stronger-healthier-kids-737405.html,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Applicable', 'explanation': 'This story doesn’t mention the costs of the fish oil supplements it appears to support. However, the cost of such supplements i",Health Day,"This HealthDay story describes a study published in the British Medical Journal that looked at whether pregnant women who took fish oil supplements in their third trimester produced healthier children based on their growth statistics and body mass index,","https://www.healthnewsreview.org/wp-content/uploads/2018/01/GettyImages-655371326-300x198.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/01/GettyImages-655371326-768x506.jpg 768w, https://www.healthnewsreview.org/wp-content/uploads/201","There is great interest in understanding the effects of interventions during pregnancy on the health of the offspring, but such studies are difficult to conduct, since assessing outcomes that occur years following the pregnancy can be a challenge.
Althoug",
https://www.healthnewsreview.org/review/when-n1-its-easy-to-jump-to-conclusions-about-a-therapy-working/,"When n=1, it’s easy to jump to conclusions about a therapy working",Was it the hyperbaric treatment or something else that helped a patient profiled in a Philadelphia Inquirer story?,Hyperbaric oxygen: The mysterious therapy that saved a cancer survivor from radiation side effects,story_reviews_00043,4,"['Mandy Stahre, PhD', 'Steven J. Atlas, MD, MPH', 'Joy Victory']",Philadelphia Inquirer,"['cancer', 'radiation therapy']",http://www.philly.com/philly/health/hyperbaric-oxygen-saved-him-from-radiation-injury-20180808.html?__vfz=medium%3Dsharebar,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Satisfactory', 'explanation': 'The article discussed that Medicare covers the treatment at $450 for a two-hour session. There wasn’t a discussion about whether ",The Philadelphia Inquirer,"This well-written article discusses a patient suffering from delayed effects of radiation who received hyperbaric therapy treatment. The patient noticed improvements in pain levels and mobility, but doctors in the story warn that this treatment is unprove","https://www.healthnewsreview.org/wp-content/uploads/2018/01/GettyImages-160736406-300x199.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/01/GettyImages-160736406.jpg 726w",Overuse of unproven medical technologies poses risks to patients and adds to rising healthcare costs. An N of 1 does not prove that a technology works since there are so many other factors that could contribute to a patient seeing improvement over time.,
